Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-03-31,0.9515,0.1728,0.295,55.2779,1.7529,1.7529,0.0,1.5,1.0714,0.4418,1.6622,7.5438,11.9303,0.9542,1.0904,0.4753,0.7894,1.7795,0.4834,0.3234
2009-06-30,1.1026,0.1632,0.1951,56.5955,8.4862,8.4862,0.0,8.9022,6.3023,0.4508,1.4829,8.1433,11.052,5.259,5.9444,2.7789,4.401,1.9038,0.1974,0.1551
2009-09-30,1.2877,0.1523,0.1797,57.0143,8.2322,8.2322,0.0,8.7606,6.1927,0.4343,1.566,8.938,10.0694,5.0214,5.6235,2.7525,4.2566,2.0574,0.2503,0.1824
2009-12-31,1.4523,0.1404,0.1633,57.9205,12.9504,12.9504,0.0,13.5711,8.8699,0.4462,2.1026,10.3368,8.7068,7.2382,8.0284,3.9908,6.2222,2.2532,0.5038,0.4385
2010-03-31,1.5125,0.1338,0.1545,58.0187,13.4059,13.4059,0.0,13.2757,8.573,0.4125,2.1774,8.4575,10.6415,6.1271,6.7581,3.5445,5.307,2.3755,0.1207,0.0657
2010-06-30,1.5122,0.1345,0.1554,58.7979,12.546,12.546,0.0,12.1899,7.9594,0.4208,2.1671,9.246,9.7339,5.8988,6.5075,3.3592,5.1053,2.3764,0.2725,0.2094
2010-09-30,1.5493,0.1298,0.1492,60.1656,14.0698,14.0698,0.0,14.5384,9.8273,0.4444,2.0808,9.3756,9.5994,7.5632,8.3157,4.3612,6.5813,2.4793,0.2185,0.1135
2010-12-31,1.7381,0.1192,0.1353,59.594,17.009,17.009,0.0,17.2292,11.746,0.4257,1.9215,9.335,9.6411,8.5609,9.3325,5.0151,7.5406,2.7112,0.4393,0.3552
2011-03-31,1.9732,0.1127,0.127,57.9567,13.5011,13.5011,0.0,13.9606,9.3908,0.3964,1.5163,7.8316,11.4919,6.064,6.5776,3.7338,5.3808,2.8894,-0.0056,-0.0764
2011-06-30,1.9291,0.1123,0.1265,57.7962,13.7167,13.7167,0.0,13.9724,9.5185,0.4131,1.4445,8.1112,11.0958,6.4448,6.9927,3.9421,5.7208,2.9005,0.2961,0.2098
2011-09-30,1.8282,0.1113,0.1252,56.6415,14.7871,14.7871,0.0,16.6276,11.8218,0.4119,1.361,7.844,11.4738,8.1645,8.8103,4.8666,7.2557,2.9453,0.3176,0.2896
2011-12-31,1.9627,0.1032,0.1151,56.4568,16.1821,16.1821,0.0,16.607,11.1208,0.4385,1.3311,7.9719,11.2896,8.0037,8.6116,4.8777,7.1777,3.1725,0.3034,0.2035
