Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2015-03-31,2957.708,0.0,0.0,0.0,2581.348,5539.056,145.816,0.0,0.0,3555.754,3701.57,9240.626,3008.849,2400.0,1922.563,4322.563,7331.412,0.061,842.98,-43.154,0.0,1909.214,9240.626
2015-06-30,2796.758,0.0,0.0,0.0,2803.752,5600.51,171.396,0.0,0.0,3882.955,4054.351,9654.861,3220.069,2400.0,2002.717,4402.717,7622.786,1200.88,869.315,-38.12,0.0,2032.075,9654.861
2015-09-30,2609.642,0.0,0.0,0.0,2960.071,5569.713,181.268,0.0,0.0,4165.286,4346.554,9916.267,3341.418,2400.0,2007.531,4407.531,7748.949,1306.461,898.747,-37.89,0.0,2167.318,9916.267
2015-12-31,2310.715,0.0,0.0,0.0,3121.125,5431.84,173.412,0.0,0.0,4597.619,4771.031,10202.87,3529.624,2371.362,2078.459,4449.821,7979.445,1324.809,941.925,-43.308,0.0,2223.426,10202.87
2016-03-31,2072.471,0.0,0.0,0.0,3471.365,5543.836,166.254,0.0,0.0,5552.184,5718.438,11262.27,3933.632,2372.218,2639.191,5011.409,8945.041,1382.051,969.583,-34.401,0.0,2317.233,11262.27
2016-06-30,1834.228,0.0,0.0,0.0,3552.69,5386.918,162.864,0.0,0.0,6043.725,6206.589,11593.51,4051.837,2373.085,2752.751,5125.836,9177.673,1443.707,1010.338,-38.211,0.0,2415.834,11593.51
2016-09-30,1343.256,0.0,0.0,0.0,3850.637,5193.893,191.876,0.0,0.0,6961.569,7153.445,12347.34,4411.405,2373.966,3033.001,5406.967,9818.372,1503.641,1061.855,-36.53,0.0,2528.966,12347.34
2016-12-31,1733.782,0.0,0.0,0.0,3986.509,5720.291,250.395,0.0,0.0,7615.924,7866.319,13586.61,4586.657,3364.311,2955.842,6320.153,10906.81,1599.762,1128.603,-48.565,0.0,2679.8,13586.61
2017-03-31,1341.229,0.0,0.0,0.0,4319.101,5660.33,275.083,0.0,0.0,8423.683,8698.766,14359.1,4911.229,3365.431,3108.753,6474.184,11385.41,1669.132,1350.41,-45.859,0.0,2973.683,14359.1
2017-06-30,2164.902,0.0,0.0,0.0,4535.883,6700.785,309.831,0.0,0.0,9506.607,9816.438,16517.22,5122.945,4836.502,3445.276,8281.777,13404.72,1727.858,1416.01,-31.368,0.0,3112.5,16517.22
2017-09-30,1746.469,0.0,0.0,0.0,4638.879,6385.348,322.421,0.0,0.0,10243.77,10566.19,16951.54,5310.677,4888.783,3424.719,8313.502,13624.18,1807.123,1545.6,-25.362,0.0,3327.361,16951.54
2017-12-31,2822.795,0.0,0.0,0.0,4847.179,7669.974,319.404,0.0,0.0,11023.36,11342.77,19012.74,5466.312,6499.432,3465.042,9964.475,15430.79,1871.396,1731.117,-20.557,0.0,3581.956,19012.74
2018-03-31,2593.666,0.0,0.0,0.0,5223.91,7817.576,341.932,0.0,0.0,11993.29,12335.22,20152.8,6005.587,6542.373,3584.107,10126.48,16132.07,1995.225,2021.241,4.264,0.0,4020.73,20152.8
2018-06-30,3906.357,0.0,0.0,0.0,5440.532,9346.889,349.646,0.0,0.0,12967.0,13316.65,22663.54,6079.641,8342.067,3745.229,12087.3,18166.94,2103.437,2405.59,-12.427,0.0,4496.6,22663.54
2018-09-30,3067.534,0.0,0.0,0.0,5662.447,8729.981,371.152,0.0,0.0,14265.1,14636.25,23366.23,6298.24,8336.586,3721.75,12058.34,18356.58,2215.736,2808.425,-14.508,0.0,5009.653,23366.23
2018-12-31,3794.483,0.0,0.0,0.0,5899.652,9694.135,418.281,0.0,0.0,15861.98,16280.27,25974.4,6487.32,10360.06,3888.257,14248.31,20735.63,2315.988,2942.359,-19.582,0.0,5238.765,25974.4
2019-03-31,3348.557,0.0,0.0,0.0,820.35,4168.907,434.372,0.0,0.0,22615.35,23049.72,27218.63,6857.807,10305.02,4352.744,14657.77,21515.57,2439.773,3288.885,-25.6,0.0,5703.058,27218.63
2019-06-30,5004.247,0.0,0.0,0.0,872.91,5877.157,452.399,0.0,0.0,23841.78,24294.18,30171.34,6933.984,12594.13,4537.672,17131.81,24065.79,2566.365,3559.535,-20.352,0.0,6105.548,30171.34
2019-09-30,4435.018,0.0,0.0,0.0,892.74,5327.758,481.992,0.0,0.0,25131.96,25613.95,30941.71,7257.9,12425.75,4396.56,16822.31,24080.21,2677.972,4224.779,-41.246,0.0,6861.505,30941.71
2019-12-31,5018.437,0.0,0.0,0.0,1160.067,6178.504,565.221,0.0,0.0,27231.99,27797.21,33975.71,6855.696,14759.26,4778.599,19537.86,26393.55,2793.929,4811.749,-23.521,0.0,7582.157,33975.71
2020-03-31,5151.884,0.0,0.0,0.0,1295.897,6447.781,650.455,0.0,0.0,27961.67,28612.13,35059.91,7853.725,14170.69,4626.199,18796.89,26650.62,2935.532,5520.816,-47.054,0.0,8409.294,35059.91
2020-06-30,7153.248,0.0,0.0,0.0,1410.891,8564.139,751.941,0.0,0.0,27859.2,28611.14,37175.28,7626.418,15295.0,4919.112,20214.11,27840.53,3127.813,6241.012,-34.072,0.0,9334.753,37175.28
2020-09-30,8392.391,0.0,0.0,0.0,1434.089,9826.48,828.118,0.0,0.0,27967.95,28796.06,38622.54,7939.795,15547.62,4801.809,20349.43,28289.22,3303.482,7030.988,-1.147,0.0,10333.32,38622.54
2020-12-31,8205.55,0.0,0.0,0.0,1556.03,9761.58,960.183,0.0,0.0,28558.6,29518.78,39280.36,7805.785,15809.09,4600.239,20409.33,28215.12,3447.698,7573.144,44.398,0.0,11065.24,39280.36
2021-03-31,8403.705,0.0,0.0,0.0,1703.803,10107.51,1015.419,0.0,0.0,29000.09,30015.51,40123.02,7961.77,14860.55,4416.612,19277.16,27238.93,3600.084,9279.859,4.137,0.0,12884.08,40123.02
2021-06-30,7777.53,0.0,0.0,0.0,1826.746,9604.276,1107.437,0.0,0.0,30259.26,31366.69,40970.97,7832.888,14926.89,4347.321,19274.21,27107.1,3721.246,10632.87,9.775,0.0,13863.87,40970.97
2021-09-30,7526.681,0.0,0.0,0.0,1889.106,9415.787,1220.114,0.0,0.0,32103.96,33324.07,42739.86,8049.246,14793.69,4582.303,19375.99,27425.24,3852.531,12081.94,-19.835,0.0,15314.62,42739.86
2021-12-31,6027.804,0.0,0.0,0.0,2042.021,8069.825,1323.453,0.0,0.0,35191.39,36514.84,44584.66,8488.966,14693.07,5553.377,20246.45,28735.41,4024.561,12689.37,-40.495,0.0,15849.25,44584.66
2022-03-31,6008.946,0.0,0.0,0.0,2089.069,8098.015,1383.763,0.0,0.0,35849.13,37232.89,45330.9,7739.656,14534.56,5512.648,20047.21,27786.87,4155.58,14286.82,-74.17,0.0,17544.04,45330.9
